clean_names,name,sflag,AphiaID,HAB,warning_level,italic
Acanthoica_quattrospina,Acanthoica quattrospina,,235802,FALSE,,TRUE
Acanthostomella_norvegica,Acanthostomella norvegica,,183556,FALSE,,TRUE
Achnanthes-like,Achnanthaceae,,149190,FALSE,,FALSE
Actinocyclus_spp,Actinocyclus,spp.,148944,FALSE,,TRUE
Air_bubbles,,,NA,FALSE,,FALSE
Akashiwo_sanguinea,Akashiwo sanguinea,,232546,TRUE,,TRUE
Akinete,Cyanophyceae,,146542,FALSE,,FALSE
Alexandrium_minutum_Alexandrium_tamarense,Alexandrium,spp.,109470,TRUE,,TRUE
Alexandrium_ostenfeldii,Alexandrium ostenfeldii,,109712,TRUE,,TRUE
Alexandrium_pseudogonyaulax,Alexandrium pseudogonyaulax,,109713,TRUE,,TRUE
Alexandrium_pseudogonyaulax_pair,Alexandrium pseudogonyaulax,,109713,TRUE,,TRUE
Alexandrium_spp,Alexandrium,spp.,109470,TRUE,,TRUE
Algirosphaera-like,Rhabdosphaeraceae,,115068,FALSE,,FALSE
Amphidinium-Katodinium,Dinophyceae,,19542,FALSE,,FALSE
Amphidinium-Katodinium2,Dinophyceae,,19542,FALSE,,FALSE
Amphidinium-like,Amphidiniaceae,,1308689,FALSE,,FALSE
Amphidinium_crassum,Amphidinium crassum,,109726,FALSE,,TRUE
Amylax_triacantha,Amylax triacantha,,110007,FALSE,,TRUE
Anabaena-like,Nostocaceae,,146584,FALSE,,FALSE
Apedinella_radians,Apedinella radians,,248097,FALSE,,TRUE
Aphanizomenon_flosaquae_bundle,Aphanizomenon flos-aquae,,248099,TRUE,,TRUE
Aphanizomenon_flosaquae_filament,Aphanizomenon flos-aquae,,248099,TRUE,,TRUE
Aphanothece_paralleliformis,Aphanothece parallelliformis,,249704,FALSE,,TRUE
Apocalathium_malmogiense,Apocalathium malmogiense,,1380043,FALSE,,TRUE
Asterionellopsis_glacialis,Asterionellopsis glacialis,,149139,FALSE,,TRUE
Asterionellopsis_glacialis_single,Asterionellopsis glacialis,,149139,FALSE,,TRUE
Attheya_spp,Attheya,spp.,160519,FALSE,,TRUE
Azadinium caudatum_var_margalefii,Azadinium caudatum var. margalefii,,846290,TRUE,,TRUE
Bacillaria_paxillifera,Bacillaria paxillifera,,558243,FALSE,,TRUE
Bacteriastrum_hyalinum,Bacteriastrum hyalinum,,149119,FALSE,,TRUE
Beads,,,NA,FALSE,,FALSE
Binuclearia_lauterbornii,Binuclearia lauterbornii,,575737,FALSE,,TRUE
Blixaea_quinquecornis,Blixaea quinquecornis,,1360848,FALSE,,TRUE
Calciopappus_sp,Calciopappus,sp.,235858,FALSE,,TRUE
Centrales_chain,Centrales,,341285,FALSE,,FALSE
Centrales_single,Centrales,,341285,FALSE,,FALSE
Cerataulina_pelagica,Cerataulina pelagica,,149619,FALSE,,TRUE
Chaetoceros_affinis,Chaetoceros affinis,,149241,FALSE,,TRUE
Chaetoceros_castracanei,Chaetoceros castracanei,,341473,FALSE,,TRUE
Chaetoceros_cf_convolutus,Chaetoceros,spp.,148985,FALSE,,TRUE
Chaetoceros_contortus,Chaetoceros contortus,,149623,FALSE,,TRUE
Chaetoceros_curvisetus,Chaetoceros curvisetus,,149221,FALSE,,TRUE
Chaetoceros_curvisetus_Chaetoceros_debilis,Chaetoceros,spp.,148985,FALSE,,TRUE
Chaetoceros_danicus,Chaetoceros danicus,,149120,FALSE,,TRUE
Chaetoceros_debilis,Chaetoceros debilis,,149219,FALSE,,TRUE
Chaetoceros_debilis_Chaetoceros_curvisetus,Chaetoceros,spp.,148985,FALSE,,TRUE
Chaetoceros_decipiens,Chaetoceros decipiens,,149126,FALSE,,TRUE
Chaetoceros_diadema,Chaetoceros diadema,,149128,FALSE,,TRUE
Chaetoceros_didymus,Chaetoceros didymus,,149122,FALSE,,TRUE
Chaetoceros_laciniosus,Chaetoceros laciniosus,,149228,FALSE,,TRUE
Chaetoceros_lorenzianus,Chaetoceros lorenzianus,,156617,FALSE,,TRUE
Chaetoceros_peruvianus,Chaetoceros peruvianus,,178185,FALSE,,TRUE
Chaetoceros_phaeoceros,Chaetoceros (Phaeoceros),,163030,FALSE,,TRUE
Chaetoceros_similis,Chaetoceros similis,,149127,FALSE,,TRUE
Chaetoceros_socialis_Chaetoceros_gelidus,Chaetoceros,spp.,148985,FALSE,,TRUE
Chaetoceros_spp_chain,Chaetoceros,spp.,148985,FALSE,,TRUE
Chaetoceros_spp_single,Chaetoceros,spp.,148985,FALSE,,TRUE
Chaetoceros_tenuissimus-like,Chaetoceros,spp.,148985,FALSE,,TRUE
Chaetoceros_wighamii,Chaetoceros wighamii,,160524,FALSE,,TRUE
Chlorococcales,Chlorococcales,,17111,FALSE,,FALSE
Chroococcales,Chroococcales,,146543,FALSE,,FALSE
Chroococcus_spp,Chroococcus,spp.,146565,FALSE,,TRUE
Chrysochromulina_lanceolata,Chrysochromulina lanceolata,,388470,FALSE,,TRUE
Chrysochromulina_parkeae,Chrysochromulina parkeae,,115126,FALSE,,TRUE
Ciliophora,Ciliophora,,11,FALSE,,FALSE
Cocconeis-like,Cocconeidaceae,,148988,FALSE,,FALSE
Cochlodinium-like,Gymnodiniaceae,,109410,FALSE,,FALSE
Colacium_vesiculosum,Colacium vesiculosum,,249707,FALSE,,TRUE
Corethron,Corethron,spp.,149109,FALSE,,TRUE
Corethron_spp,Corethron,spp.,149109,FALSE,,TRUE
Coscinodiscus_centralis,Coscinodiscus centralis,,149159,FALSE,,TRUE
Coscinodiscus_concinnus,Coscinodiscus concinnus,,148992,FALSE,,TRUE
Coscinodiscus_granii,Coscinodiscus granii,,149271,FALSE,,TRUE
Coscinodiscus_radiatus,Coscinodiscus radiatus,,149158,FALSE,,TRUE
Coscinodiscus_spp,Coscinodiscus,spp.,148917,FALSE,,TRUE
Cryptomonadales,Cryptomonadales,,17640,FALSE,,FALSE
Cryptophyta,Cryptophyta,,17638,FALSE,,FALSE
Cyclotella_spp,Cyclotella,spp.,148905,FALSE,,TRUE
Cylindrotheca_closterium_Nitzschia_longissima,Bacillariaceae,,149002,FALSE,,FALSE
Cymbomonas_tetramitiformis,Cymbomonas tetramitiformis,,134545,FALSE,,TRUE
Dactyliosolen_blavyanus,Dactyliosolen blavyanus,,179786,FALSE,,TRUE
Dactyliosolen_fragilissimus,Dactyliosolen fragilissimus,,149310,FALSE,,TRUE
Debris,,,NA,FALSE,,FALSE
Detonula_Lauderia-like,Thalassiosiraceae,,148904,FALSE,,FALSE
Detonula_confervacea,Detonula confervacea,,149286,FALSE,,TRUE
Diatoma_tenuis-like_chain,Diatoma,sp.,149013,FALSE,,TRUE
Diatoma_tenuis-like_single_cell,Diatoma,sp.,149013,FALSE,,TRUE
Dictyocha_fibula,Dictyocha fibula,,157463,FALSE,,TRUE
Dictyochales,Dictyochales,,157256,FALSE,,FALSE
Dictyochales_transformation,Dictyochales,,157256,FALSE,,FALSE
Dinobryon_spp,Dinobryon,spp.,157240,FALSE,,TRUE
Dinophyceae,Dinophyceae,,19542,FALSE,,FALSE
Dinophyceae_larger_than_30,Dinophyceae,,19542,FALSE,,FALSE
Dinophyceae_pair,Dinophyceae,,19542,FALSE,,FALSE
Dinophyceae_smaller_than_30,Dinophyceae,,19542,FALSE,,FALSE
Dinophysis_acuminata,Dinophysis acuminata,,109603,TRUE,1500,TRUE
Dinophysis_acuta,Dinophysis acuta,,109604,TRUE,200,TRUE
Dinophysis_norvegica,Dinophysis norvegica,,109637,TRUE,4000,TRUE
Dinophysis_spp,Dinophysis,spp.,109462,FALSE,,TRUE
Dinophysis_tripos,Dinophysis tripos,,109662,TRUE,,TRUE
Ditylum_brightwellii,Ditylum brightwellii,,149023,FALSE,,TRUE
Dolichospermum_spp_coil,Dolichospermum,spp.,603709,FALSE,,TRUE
Dolichospermum_spp_filament,Dolichospermum,spp.,603709,FALSE,,TRUE
